,TimeUS,timestamp,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,terrain_z,sub_z,rf
117,33436620,1685893244.379533,0.0,0.0,0.25,0.5,0.0,-6.842220306396484,-6.95319414138794,0.0,0.0,0.0,0,-60,,,
118,33536580,1685893244.4794931,0.0,0.0,0.25,0.5,0.0,-6.918888568878174,-6.666322708129883,0.0,0.0,0.0,0,-61,,,
119,33636540,1685893244.5794528,0.0,0.0,0.25,0.5,0.0,-6.985509872436523,-6.960494995117188,0.0,0.0,0.0,0,-61,,,
120,33736500,1685893244.679413,0.0,0.0,0.25,0.5,0.0,-7.046243190765381,-7.02663516998291,0.0,0.0,0.0,0,-61,,,
121,33836460,1685893244.7793732,0.0,0.0,0.25,0.5,0.0,-7.107862949371338,-6.996641635894775,0.0,0.0,0.0,0,-61,,,
122,33936420,1685893244.879333,0.0,0.0,0.25,0.5,0.0,-7.166709899902344,-6.933669567108154,0.0,0.0,0.0,0,-61,,,
123,34036380,1685893244.979293,0.0,0.0,0.25,0.5,0.0,-7.21529483795166,-7.273205280303955,0.0,0.0,0.0,0,-60,,,
124,34136340,1685893245.0792527,0.0,0.0,0.25,0.5,0.0,-7.269254684448242,-7.2034430503845215,0.0,0.0,0.0,0,-59,,,
125,34237133,1685893245.180046,0.0,0.0,0.25,0.5,0.0,-7.324467182159424,-7.189213275909424,0.0,0.0,0.0,0,-59,,,
126,34337093,1685893245.280006,0.0,0.0,0.25,0.5,0.0,-7.376136779785156,-7.350511074066162,0.0,0.0,0.0,0,-58,,,
127,34437053,1685893245.379966,0.0,0.0,0.25,0.5,0.0,-7.4289870262146,-7.22686767578125,0.0,0.0,0.0,0,-58,,,
128,34537013,1685893245.479926,0.0,0.0,0.25,0.5,0.0,-7.476068019866943,-7.496011734008789,0.0,0.0,0.0,0,-57,,,
129,34636973,1685893245.579886,0.0,0.0,0.25,0.5,0.0,-7.526415824890137,-7.346287250518799,0.0,0.0,0.0,0,-56,,,
130,34736933,1685893245.679846,0.0,0.0,0.25,0.5,0.0,-7.572852611541748,-7.571427822113037,0.0,0.0,0.0,0,-55,,,
131,34836893,1685893245.779806,0.0,0.0,0.25,0.5,0.0,-7.62162446975708,-7.560673713684082,0.0,0.0,0.0,0,-55,,,
132,34936853,1685893245.879766,0.0,0.0,0.25,0.5,0.0,-7.67158317565918,-7.576132774353027,0.0,0.0,0.0,0,-54,,,
133,35036813,1685893245.979726,0.0,0.0,0.25,0.5,0.0,-7.719794750213623,-7.923564434051514,0.0,0.0,0.0,0,-54,,,
134,35136773,1685893246.079686,0.0,0.0,0.25,0.5,0.0,-7.781306743621826,-7.898468494415283,0.0,0.0,0.0,0,-54,,,
135,35236733,1685893246.179646,0.0,0.0,0.25,0.5,0.0,-7.849420547485352,-7.985231876373291,0.0,0.0,0.0,0,-55,,,
136,35336693,1685893246.279606,0.0,0.0,0.25,0.5,0.0,-7.92341947555542,-8.115358352661133,0.0,0.0,0.0,0,-57,,,
