timestamp,TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt
1686415759.48015499,130534432,0.4810057282447815,0.0,0.4824124276638031,0.5,-5.4422173500061035,-5.427754878997803,-5.4992475509643555,10.370000000000001,10.18,0.0,12,18
1686415759.58011508,130634392,0.4623350501060486,0.0,0.45922979712486267,0.5,-5.426130294799805,-5.411502361297607,-5.4983673095703125,10.370000000000001,10.24,0.0,10,16
1686415759.68007517,130734352,0.4502513110637665,0.0,0.4438719153404236,0.5,-5.411980628967285,-5.397406578063965,-5.449121475219727,10.370000000000001,10.27,0.0,8,14
1686415759.78003502,130834312,0.442623496055603,0.0,0.4333793520927429,0.5,-5.399720668792725,-5.384666442871094,-5.470661640167236,10.370000000000001,10.3,0.0,6,12
1686415759.87999511,130934272,0.44355154037475586,0.0,0.4259682297706604,0.5,-5.389293193817139,-5.374207019805908,-5.441883087158203,10.370000000000001,10.33,0.0,5,10
1686415759.97995496,131034232,0.4473612606525421,0.0,0.4270506799221039,0.5,-5.380508899688721,-5.366289138793945,-5.429009914398193,10.370000000000001,10.35,0.0,3,7
1686415760.07991505,131134192,0.452831506729126,0.0,0.4304667115211487,0.5,-5.373194694519043,-5.359981536865234,-5.437838077545166,10.370000000000001,10.39,0.0,2,6
1686415760.17987514,131234152,0.45371559262275696,0.0,0.43416833877563477,0.5,-5.367135047912598,-5.355600357055664,-5.4159440994262695,10.370000000000001,10.42,0.0,1,4
1686415760.27983499,131334112,0.4555211663246155,0.0,0.4371300935745239,0.5,-5.362271785736084,-5.352452754974365,-5.403717994689941,10.370000000000001,10.43,0.0,1,3
1686415760.37979507,131434072,0.4555089771747589,0.0,0.43769752979278564,0.5,-5.3585920333862305,-5.349701404571533,-5.409276008605957,10.370000000000001,10.450000000000001,0.0,0,2
1686415760.47975516,131534032,0.4532226026058197,0.0,0.43655991554260254,0.5,-5.35600471496582,-5.347634315490723,-5.392895221710205,10.370000000000001,10.47,0.0,0,1
1686415760.57971501,131633992,0.45058614015579224,0.0,0.4351425766944885,0.5,-5.354403018951416,-5.346017837524414,-5.404290676116943,10.370000000000001,10.49,0.0,-1,0
1686415760.67967510,131733952,0.44925108551979065,0.0,0.4328770935535431,0.5,-5.353715896606445,-5.345283508300781,-5.385599613189697,10.370000000000001,10.5,0.0,-2,0
1686415760.77963495,131833912,0.4526515603065491,0.0,0.4334404766559601,0.5,-5.353896617889404,-5.345171928405762,-5.389700412750244,10.370000000000001,10.51,0.0,-3,-1
1686415760.87959504,131933872,0.45284539461135864,0.0,0.4345281422138214,0.5,-5.354808330535889,-5.345605373382568,-5.39166784286499,10.370000000000001,10.51,0.0,-4,-2
1686415760.98038816,132034665,0.4559907019138336,0.0,0.4375210106372833,0.5,-5.356314182281494,-5.346851825714111,-5.420875549316406,10.370000000000001,10.52,0.0,-4,-3
1686415761.08034801,132134625,0.46055734157562256,0.0,0.4397135078907013,0.5,-5.358272552490234,-5.349884986877441,-5.42998743057251,10.370000000000001,10.52,0.0,-4,-4
1686415761.18030810,132234585,0.4728974401950836,0.0,0.44808152318000793,0.5,-5.360713005065918,-5.355118751525879,-5.402894020080566,10.370000000000001,10.540000000000001,0.0,-4,-4
1686415761.28026795,132334545,0.4795653820037842,0.0,0.45766323804855347,0.5,-5.363659858703613,-5.360663890838623,-5.410693645477295,10.370000000000001,10.540000000000001,0.0,-4,-5
1686415761.38022804,132434505,0.4782399535179138,0.0,0.46248602867126465,0.5,-5.367150783538818,-5.365638256072998,-5.4367265701293945,10.370000000000001,10.540000000000001,0.0,-4,-4
1686415761.48018813,132534465,0.47502532601356506,0.0,0.4620519280433655,0.5,-5.371118545532227,-5.370880603790283,-5.418354511260986,10.370000000000001,10.540000000000001,0.0,-4,-4
1686415761.58014798,132634425,0.47187328338623047,0.0,0.46130624413490295,0.5,-5.375506401062012,-5.375894069671631,-5.407740592956543,10.370000000000001,10.540000000000001,0.0,-4,-4
1686415761.68010807,132734385,0.46075010299682617,0.0,0.4564509987831116,0.5,-5.380253791809082,-5.379637718200684,-5.418904781341553,10.370000000000001,10.540000000000001,0.0,-5,-4
1686415761.78006816,132834345,0.44750744104385376,0.0,0.44599196314811707,0.5,-5.385307788848877,-5.3825788497924805,-5.421026706695557,10.370000000000001,10.540000000000001,0.0,-5,-4
1686415761.88002801,132934305,0.4399934411048889,0.0,0.43640682101249695,0.5,-5.390629768371582,-5.3852219581604,-5.465087890625,10.370000000000001,10.540000000000001,0.0,-7,-5
1686415761.97998810,133034265,0.4449650049209595,0.0,0.43312984704971313,0.5,-5.396175384521484,-5.390352725982666,-5.466020584106445,10.370000000000001,10.540000000000001,0.0,-7,-6
1686415762.07994795,133134225,0.4597954750061035,0.0,0.44142359495162964,0.5,-5.401904106140137,-5.3978071212768555,-5.453474044799805,10.370000000000001,10.53,0.0,-7,-7
1686415762.17990804,133234185,0.47320353984832764,0.0,0.45788654685020447,0.5,-5.407718658447266,-5.405840873718262,-5.462527275085449,10.370000000000001,10.52,0.0,-6,-7
1686415762.27986813,133334145,0.47584962844848633,0.0,0.4689956307411194,0.5,-5.413464546203613,-5.41360330581665,-5.4601054191589355,10.370000000000001,10.51,0.0,-5,-6
1686415762.37982798,133434105,0.4717061221599579,0.0,0.47255033254623413,0.5,-5.419085502624512,-5.420198440551758,-5.48079252243042,10.370000000000001,10.52,0.0,-5,-6
1686415762.47978806,133534065,0.4672531187534332,0.0,0.46911126375198364,0.5,-5.424624443054199,-5.426174640655518,-5.470162391662598,10.370000000000001,10.5,0.0,-5,-5
1686415762.57974815,133634025,0.4598374366760254,0.0,0.4669693112373352,0.5,-5.429986476898193,-5.431107044219971,-5.475207328796387,10.370000000000001,10.5,0.0,-4,-5
1686415762.67970800,133733985,0.4536530077457428,0.0,0.46140092611312866,0.5,-5.43516731262207,-5.43503999710083,-5.503678321838379,10.370000000000001,10.51,0.0,-5,-4
1686415762.77966809,133833945,0.4488576054573059,0.0,0.452443391084671,0.5,-5.4402971267700195,-5.439540863037109,-5.49898099899292,10.370000000000001,10.51,0.0,-5,-4
1686415762.87962794,133933905,0.4521524906158447,0.0,0.45085465908050537,0.5,-5.445458889007568,-5.444572448730469,-5.494956970214844,10.370000000000001,10.5,0.0,-5,-5
1686415762.98042107,134034698,0.4552406966686249,0.0,0.45526960492134094,0.5,-5.450601577758789,-5.44960355758667,-5.506141662597656,10.370000000000001,10.49,0.0,-5,-5
1686415763.08038116,134134658,0.457369327545166,0.0,0.4595063328742981,0.5,-5.455535411834717,-5.454623699188232,-5.480408191680908,10.370000000000001,10.47,0.0,-5,-5
1686415763.18034101,134234618,0.45290008187294006,0.0,0.4637661874294281,0.5,-5.460198402404785,-5.458248615264893,-5.5096635818481445,10.370000000000001,10.47,0.0,-5,-4
1686415763.28030109,134334578,0.4482685327529907,0.0,0.46007394790649414,0.5,-5.464559555053711,-5.461464881896973,-5.51744270324707,10.370000000000001,10.46,0.0,-5,-4
1686415763.38026094,134434538,0.44668710231781006,0.0,0.4563184082508087,0.5,-5.468634128570557,-5.4649763107299805,-5.513077259063721,10.370000000000001,10.450000000000001,0.0,-5,-4
1686415763.48022103,134534498,0.4489767551422119,0.0,0.4570724666118622,0.5,-5.472431182861328,-5.468448162078857,-5.499680995941162,10.370000000000001,10.450000000000001,0.0,-4,-4
1686415763.58018112,134634458,0.4465894401073456,0.0,0.4565405249595642,0.5,-5.475985050201416,-5.470972061157227,-5.5100812911987305,10.370000000000001,10.450000000000001,0.0,-4,-4
1686415763.68014097,134734418,0.44125863909721375,0.0,0.45229479670524597,0.5,-5.479348182678223,-5.472997188568115,-5.537573337554932,10.370000000000001,10.450000000000001,0.0,-5,-4
1686415763.78010106,134834378,0.442491739988327,0.0,0.44868171215057373,0.5,-5.482570648193359,-5.47599458694458,-5.5393877029418945,10.370000000000001,10.450000000000001,0.0,-5,-4
1686415763.88006115,134934338,0.4535719156265259,0.0,0.4542495310306549,0.5,-5.485658168792725,-5.48008918762207,-5.5310540199279785,10.370000000000001,10.43,0.0,-4,-4
1686415763.98002100,135034298,0.46105167269706726,0.0,0.4621528387069702,0.5,-5.4885172843933105,-5.484312534332275,-5.533319473266602,10.370000000000001,10.44,0.0,-4,-4
1686415764.07998109,135134258,0.4625755846500397,0.0,0.4682617783546448,0.5,-5.491224765777588,-5.488024711608887,-5.52669620513916,10.370000000000001,10.43,0.0,-3,-4
1686415764.17994094,135234218,0.4565492272377014,0.0,0.46645545959472656,0.5,-5.493736743927002,-5.490546703338623,-5.540358543395996,10.370000000000001,10.42,0.0,-3,-3
1686415764.27990103,135334178,0.4515337646007538,0.0,0.4598294496536255,0.5,-5.49612283706665,-5.49249792098999,-5.564220428466797,10.370000000000001,10.450000000000001,0.0,-3,-3
1686415764.37986112,135434138,0.4514515995979309,0.0,0.45214352011680603,0.5,-5.498642444610596,-5.495340347290039,-5.551675796508789,10.370000000000001,10.46,0.0,-3,-3
1686415764.47982097,135534098,0.4534427523612976,0.0,0.44754189252853394,0.5,-5.50143575668335,-5.49863862991333,-5.560459136962891,10.370000000000001,10.5,0.0,-3,-3
1686415764.57978106,135634058,0.45718568563461304,0.0,0.4463207423686981,0.5,-5.504732608795166,-5.502522945404053,-5.568917274475098,10.370000000000001,10.52,0.0,-4,-4
1686415764.67974114,135734018,0.4591914117336273,0.0,0.4461440145969391,0.5,-5.508557319641113,-5.507270812988281,-5.564789772033691,10.370000000000001,10.540000000000001,0.0,-4,-4
1686415764.77970099,135833978,0.4613387882709503,0.0,0.44790637493133545,0.5,-5.512930870056152,-5.512408256530762,-5.562129974365234,10.370000000000001,10.55,0.0,-4,-4
1686415764.87966108,135933938,0.45685577392578125,0.0,0.4466410279273987,0.5,-5.517830848693848,-5.517399311065674,-5.5590081214904785,10.370000000000001,10.58,0.0,-5,-5
1686415764.97962117,136033898,0.4503858983516693,0.0,0.4417162537574768,0.5,-5.523313999176025,-5.521949291229248,-5.593703746795654,10.370000000000001,10.59,0.0,-6,-5
